name;short_name;location_supplier;location_dgcfs;location_xmcfs;location_yantian;location_xiamen;distance_dgcfs;duration_dgcfs;distance_yantian;duration_yantian;distance_xmcfs;duration_xmcfs;distance_xiamen;duration_xiamen
HUNGFUNG(JIAN) GARMENT COMPANY;HUNGFUNG;114.958255,27.029808;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
NANHAI GLOBLE SINO ENTERPRISE;GLOBLE SINO;113.213415,23.136069;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Xiamen Wintex Imp. & Exp. Co.;FURONG;119.596259,25.95391;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
OCEAN SMART INDUSTRIES LT.;OCEAN SMART;114.131347,22.958549;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
HOLJUN TEXTILE TRADING(SHENZHE;HOLJUN;113.802413,22.789201;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
DAFU PLASTIC INDUSTRY CO LTD;DAFU;119.110962,25.285137;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
YINGDE CALTAK SHOES INDUSTRIES;CALTAK;113.42023,24.203921;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
GRACE CONTINENTAL LIMITED(FROX;GRACE;114.072185,22.729496;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
WUHU FENGXUE RUBBER CO. LTD;FENGXUE;118.388343,31.313281;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Xingke Athletics Thing Co.,Ltd;XINGKE;118.650122,24.77969;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
ZUNLUN TRANSPORTION INSTRUMENT;ZUNLU;114.077406,22.633264;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
OT sports manufacturing co.,lt;OT;114.131123,22.813119;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Golden Crown Spt. Goods (He Yu;CHANGSHENG;114.671152,23.625613;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
TRANSART GRAPHICS(SHENZHEN) CO;TRANSART GRAPHICS;114.049648,22.642981;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
KAIDUAN KNITTING GMT FTY;KAIDUAN;113.326663,23.382596;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
LIHE(ZHANGZHOU)ENTERPRISE CO. ;LIHE;117.653579,24.51893;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
